periodo;indice;valor
201204;metro_linea_1_buses;730833
201304;metro_linea_a;12444683
201304;metro_linea_b;2125663
201304;metro_linea_k;347071
201304;metro_linea_j;301541
201304;metro_linea_l;31956
201304;metro_linea_1_buses;1214188
201304;metro_linea_2_buses;18878
201304;metro_cuenca_3;0
201304;metro_cuenca_6;0
201404;metro_linea_a;12189994
201404;metro_linea_b;2136594
201404;metro_linea_k;564910
201404;metro_linea_j;353396
201404;metro_linea_l;74616
201404;metro_linea_1_buses;1689960
201404;metro_linea_2_buses;349969
201404;metro_cuenca_3;434928
201404;metro_cuenca_6;763922
201504;metro_linea_a;13848320
201504;metro_linea_b;2379834
201504;metro_linea_k;580095
201504;metro_linea_j;371154
201504;metro_linea_l;63286
201504;metro_linea_1_buses;1816887
201504;metro_linea_2_buses;332086
201504;metro_cuenca_3;471303
201504;metro_cuenca_6;885061
201604;metro_linea_a;14053004
201604;metro_linea_b;2443754
201604;metro_linea_k;576172
201604;metro_linea_j;388801
201604;metro_linea_l;57117
201604;metro_linea_1_buses;2057234
201604;metro_linea_2_buses;342476
201604;metro_cuenca_3;554154
201604;metro_cuenca_6;1096954
201604;metro_cuenca_7_integrados;368374
201604;metro_cuenca_5_integrados;0
201604;metro_tranvia;260741
201604;metro_linea_h;0
201703;metro_cuenca_9_integrados;135997
201704;metro_linea_a;13629656
201704;metro_linea_b;2438616
201704;metro_linea_k;603523
201704;metro_linea_j;402992
201704;metro_linea_l;88273
201704;metro_linea_1_buses;1890173
201704;metro_linea_2_buses;308637
201704;metro_cuenca_3;547506
201704;metro_cuenca_6;956458
201704;metro_cuenca_7_integrados;359731
201704;metro_cuenca_5_integrados;361635
201704;metro_tranvia;538026
201704;metro_linea_h;50716
201105;metro_linea_a;11610943
201105;metro_linea_b;2037374
201105;metro_linea_k;525054
201105;metro_linea_j;240581
201105;metro_linea_l;62068
201105;metro_linea_1_buses;0
201205;metro_linea_a;11575305
201205;metro_linea_b;2064861
201205;metro_linea_k;520852
201205;metro_linea_j;185870
201205;metro_linea_l;57399
201205;metro_linea_1_buses;835772
201305;metro_linea_a;12438537
201305;metro_linea_b;2148391
201305;metro_linea_k;549039
201305;metro_linea_j;312079
201305;metro_linea_l;54575
201305;metro_linea_1_buses;1324964
201305;metro_linea_2_buses;112898
201305;metro_cuenca_3;0
201305;metro_cuenca_6;0
201405;metro_linea_a;13301809
201405;metro_linea_b;2308809
201405;metro_linea_k;587954
201405;metro_linea_j;375397
201405;metro_linea_l;48108
201405;metro_linea_1_buses;1843662
201405;metro_linea_2_buses;376770
201405;metro_cuenca_3;464532
201405;metro_cuenca_6;824404
201505;metro_linea_a;14201302
201505;metro_linea_b;2435841
201505;metro_linea_k;607246
201505;metro_linea_j;394017
201505;metro_linea_l;71681
201505;metro_linea_1_buses;1879227
201505;metro_linea_2_buses;331802
201505;metro_cuenca_3;484266
201505;metro_cuenca_6;916787
201605;metro_linea_a;14727180
201605;metro_linea_b;2556056
201605;metro_linea_k;553311
201605;metro_linea_j;409190
201605;metro_linea_l;60007
201605;metro_linea_1_buses;1933563
201605;metro_linea_2_buses;327785
201605;metro_cuenca_3;546524
201605;metro_cuenca_6;1054035
201605;metro_cuenca_7_integrados;374641
201605;metro_cuenca_5_integrados;0
201605;metro_tranvia;318439
201605;metro_linea_h;0
201704;metro_cuenca_9_integrados;115016
201705;metro_linea_a;15019385
201705;metro_linea_b;2691378
201705;metro_linea_k;634131
201705;metro_linea_j;443882
201705;metro_linea_l;64428
201705;metro_linea_1_buses;2076335
201705;metro_linea_2_buses;328704
201705;metro_cuenca_3;603701
201705;metro_cuenca_6;1049286
201705;metro_cuenca_7_integrados;401992
201705;metro_cuenca_5_integrados;412375
201705;metro_tranvia;586741
201705;metro_linea_h;55940
201106;metro_linea_a;10889341
201106;metro_linea_b;1901605
201106;metro_linea_k;531382
201106;metro_linea_j;239021
201106;metro_linea_l;114284
201106;metro_linea_1_buses;0
201206;metro_linea_a;11085433
201206;metro_linea_b;1896190
201206;metro_linea_k;534817
201206;metro_linea_j;263926
201206;metro_linea_l;100702
201206;metro_linea_1_buses;782014
201306;metro_linea_a;11793653
201306;metro_linea_b;1990734
201306;metro_linea_k;561938
201306;metro_linea_j;307580
201306;metro_linea_l;98370
201306;metro_linea_1_buses;1217463
201306;metro_linea_2_buses;118600
201306;metro_cuenca_3;0
201306;metro_cuenca_6;0
201406;metro_linea_a;12029612
201406;metro_linea_b;2026689
